edge_num,Node_1,X_1,Y_1,Node_2,X_2,Y_2,length,C-betweenness_1,C-betweenness_2,C-closness_1,C-closness_2,K-core_1,K-core_2,Edge_vunerability
40,82,1233.20,1215.27,78,1192.99,1210.97,40.4394,0.4309020504030978,0.08087348441566686,0.0008344608395523351,0.0008094314726000013,2,2,0.008372335965657837
41,78,1192.99,1210.97,67,1135.55,1209.53,57.4597,0.08087348441566686,0.0594172538564083,0.0008094314726000013,0.0007752001264485541,2,2,0.00448200706928237
42,157,673.86,1204.50,148,554.67,1240.40,124.4810,0.06601917095156479,0.31930425950612584,0.0008364438581476327,0.0008560399315850387,2,2,0.0029100515238831195
43,65,112.51,1201.49,121,259.56,1215.27,147.6957,0.12797562369072557,0.1347045007300197,0.00072282068521814,0.0007719977974989578,2,2,0.001859034177501859
44,162,72.30,1196.89,65,112.51,1201.49,40.4710,0.0619564527391608,0.12797562369072557,0.0007032874544631646,0.00072282068521814,2,2,0.01061003691962962
45,162,72.30,1196.89,89,128.60,1238.25,70.1783,0.0619564527391608,0.0016504792737891195,0.0007032874544631646,0.0006816561276476556,2,2,0.0017431709839155847
46,79,12.56,1217.57,162,72.30,1196.89,63.8124,0.0,0.0619564527391608,0.0006733252404935242,0.0007032874544631646,2,2,0.0019268261453210054
47,162,72.30,1196.89,0,-0.07,1188.85,72.8220,0.0619564527391608,0.0,0.0007032874544631646,0.0006692067136844687,2,1,0.009800393914097948
48,169,870.60,1167.17,157,673.86,1204.50,200.2496,0.07414460737637275,0.06601917095156479,0.0008164838092462417,0.0008364438581476327,2,2,0.004000283448130907
49,84,1233.92,1126.96,82,1233.20,1215.27,88.3196,0.4277280517996572,0.4309020504030978,0.0008593097343620983,0.0008344608395523351,2,2,0.023340084272235693
50,70,1159.24,1121.21,84,1233.92,1126.96,74.8948,0.2468101314035422,0.4277280517996572,0.0008634845214267824,0.0008593097343620983,2,2,0.006577293034736182
51,145,531.26,1100.96,157,673.86,1204.50,246.2131,0.17241160413889417,0.06601917095156479,0.0008587712734295183,0.0008364438581476327,2,2,0.00027327452933904997
52,145,531.26,1100.96,144,523.80,1239.40,138.6359,0.17241160413889417,0.2968323493937663,0.0008587712734295183,0.0008523548468247351,2,2,0.003750996232571645
53,123,268.18,1083.73,121,259.56,1215.27,131.8235,0.04989525804608646,0.1347045007300197,0.0007917895431365617,0.0007719977974989578,2,2,0.0013590274922599091
54,71,116.53,1069.95,123,268.18,1083.73,152.2716,0.09953659620389767,0.04989525804608646,0.0007457314065115755,0.0007917895431365617,2,2,0.0003180489987369598
55,65,112.51,1201.49,71,116.53,1069.95,131.6031,0.12797562369072557,0.09953659620389767,0.00072282068521814,0.0007457314065115755,2,2,0.0046862804856666026
56,96,1371.57,1055.91,27,1557.17,1083.73,187.6726,0.02247191011235955,0.0,0.0007616045438319738,0.000666828645588394,2,1,0.007438156563328991
57,96,1371.57,1055.91,94,1347.37,1256.20,282.6439,0.02247191011235955,0.011172475084110962,0.0007616045438319738,0.0007372231096648946,2,2,0.0013528607456056115
58,138,38.41,1013.65,7,0.50,1020.55,38.5331,0.04380118072748048,0.0,0.0007191555479364032,0.0006998701968832374,2,1,0.010984207110898234
59,71,116.53,1069.95,75,118.83,996.42,73.5613,0.09953659620389767,0.13864025899828605,0.0007457314065115755,0.0007619430363133095,2,2,0.0066135513489453115
60,138,38.41,1013.65,75,118.83,996.42,82.2441,0.04380118072748048,0.13864025899828605,0.0007191555479364032,0.0007619430363133095,2,2,0.005999708877780017
61,75,118.83,996.42,102,146.40,989.53,28.4206,0.13864025899828605,0.11426394972386213,0.0007619430363133095,0.0007678292585152221,2,2,0.007938801896230566
62,102,146.40,989.53,117,242.91,966.55,99.1998,0.11426394972386213,0.1328001015679553,0.0007678292585152221,0.0008122148709713882,2,2,0.0032586437008379748
63,125,275.07,961.96,123,268.18,1083.73,122.4276,0.08341268329841935,0.04989525804608646,0.0008238158326013079,0.0007917895431365617,2,2,0.0021028111168373467
64,117,242.91,966.55,125,275.07,961.96,32.4940,0.1328001015679553,0.08341268329841935,0.0008122148709713882,0.0008238158326013079,2,2,0.005227626858854029
65,163,733.60,976.92,146,542.26,953.23,192.7985,0.1720307243064813,0.3161302609026852,0.0009135502009710619,0.0009097198656176123,2,2,0.00437386986857117
66,146,542.26,953.23,145,531.26,1100.96,148.1433,0.3161302609026852,0.17241160413889417,0.0009097198656176123,0.0008587712734295183,2,2,0.006381040708792632
67,142,503.65,949.79,146,542.26,953.23,38.7630,0.29467403034342665,0.3161302609026852,0.0009150225643613363,0.0009097198656176123,2,2,0.010676488274989512
68,142,503.65,949.79,139,388.81,939.55,115.2968,0.29467403034342665,0.27029772106900274,0.0009150225643613363,0.0008793256974079567,2,2,0.0061943296675952735
69,125,275.07,961.96,139,388.81,939.55,115.9199,0.08341268329841935,0.27029772106900274,0.0008238158326013079,0.0008793256974079567,2,2,0.004584669320347189
70,51,1027.13,946.02,57,1084.57,924.48,61.3478,0.07274804799085888,0.13406970100933155,0.0008800599860356925,0.0009037887708754007,2,2,0.004098328014854099
71,57,1084.57,924.48,58,1085.29,811.75,112.7317,0.13406970100933155,0.13572018028312066,0.0009037887708754007,0.0009169885559230633,2,2,0.0035972969181153375
